ЭФ,,имя,тип,ранг,нация,длина,масса,Double,,Single,,,пушки,,,ДПС,,броня,,,офицеры,системы,,,,,,,,,,Баки,,АВТ,Важных,
48,M48-legion,Legion,линейный крейсер,IV,Империя,14,69.63,2,1,,2,4,2,1,2,40,57,146,12,1.315068493,8,4,8,8,4,4,4,4,,12,,39,39,0.5601436266,48,4
48,M48-flamberge,Flamberge,линкор,IV,Орден,12,66.92,2,2,,,,2,2,,40,53,140,12,1.371428571,8,4,8,8,4,4,4,4,,12,,20,20,0.298879203,48,4
48,M48-lucanus,Lucanus,линкор,IV,Зелёные,12,70.08,4,,,,5,4,0,,48,58,157,12,1.222929936,8,4,8,8,4,4,4,4,,12,,42,42,0.5992865636,48,4
48,M48-dunkerke,Dunkerke,линкор,IV,Империя,15,67.17,,4,,,4,,4,,32,53,148,12,1.297297297,8,4,8,8,4,4,4,4,,12,,22,22,0.3275434243,48,4
52,M52-heavy_cruiser,Fenrir,тяжелый крейсер,IV,Единение,14,73.71,1,1,2,2,4,1,3,2,40,61,166,12,1.156626506,8,4,8,10,5,4,5,4,,12,,37,37,0.5019785189,52,4.285714286
60,M60-werewolf,Werewolf,линкор,V,Единение,13,84.79,2,2,1,1,5,1,3,2,50,68,158,15,1.518987342,10,5,10,10,5,5,5,5,,15,,33,33,0.3891891892,60,5
60,M60-durandal,Durandal,линкор,V,Орден,15,85.50,4,,,2,5,4,0,2,56,66,176,15,1.363636364,10,5,10,10,5,5,5,5,2,15,,24,40,0.4678362573,60,5
60,M60-asmodee,Asmodee,тяжёлый авианосец,V,Единение,,81.79,,,,,,,0,,0,68,188,12,1.021276596,10,5,,10,5,5,5,5,,9,16,33,33,0.4034640856,60,4.904761905
62,M62-hand-of-god,Hand of god,ТДК,V,Орден,12,93.92,,,,4,4,,0,4,16,80,189,12,1.015873016,16,12,4,12,4,4,4,12,8,10,,42,106,1.12866016,62,4.857142857
72,M72-archangel,Archangel,дредноут,VI,Орден,16,103.42,6,,,,6,6,0,,72,83,195,18,1.476923077,12,6,12,12,6,6,6,6,2,18,,36,52,0.5028203062,72,6
72,M72-apocalypse,Apocalypse,дредноут,VI,Империя,15,107.92,4,2,,,2,4,2,,64,92,177,18,1.627118644,12,6,12,12,6,6,6,6,,18,,82,82,0.7598455598,72,6
